1;Guilherme Consolação Dias;guilherme_Dias@gmail.com;guilherme_Dias@gmail.com;123654898
2;Iago Takeshi iguchi;iago_iguchi@gmail.com;iago_iguchi@gmail.com;159753687
3;Joao Victor Bueno de Caldas;jobu_caldas@gmail.com;jobu_caldas@gmail.com;21321545
4;Marcelo Vinícius Teodoro;marcelo_teodoro@gmail.com;marcelo_teodoro@gmail.com;258963147
5;André Fortolan;andre_fortolan@gmail.com;andre_fortolan@gmail.com;741258963
6;Gustavo Maciel;gustavo_maciel@gmail.com;gustavo_maciel@gmail.com;123987456
7;Fábio Dupre;fabiodpp@gmail.com;fabiodpp@gmail.com;582014698
8;Fábio Fabre;fabiofabre@gmail.com;fabiofabre@gmail.com;4569047862
9;Lucas Silva;lucassilva@gmail.com;lucassilva@gmail.com;3215798
10;Matheus Teodoro;matheust@gmail.com;matheust@gmail.com;56418487
11;Matheus Fernandes;matheusf@gmail.com;matheusf@gmail.com;465213214
12;Antônio Silva;antonioS@gmail.com;antonioS@gmail.com;654687564
13;Thiago Mendes;thiagoM@gmail.com;thiagoM@gmail.com;465878546
14;Luís Gustavo Vieira;luisv@gmail.com;luisv@gmail.com;4568715849
15;Erik Romanelli;erikR@gmail.com;erikR@gmail.com;481564898
16;Oliver Pincelli;oliverp@gmail.com;oliverp@gmail.com;31245689
17;Marco Foguel;marcof@gmail.com;marcof@gmail.com;7894553928
18;Luan Monteiro;luanM@gmil.com;luanM@gmil.com;456789321
19;Maria Fernanda;mariaf@gmail.com;mariaf@gmail.com;321456987
20;Monique Silva;moniqueS@gmail.com;moniqueS@gmail.com;741258663
21;Eduarda Monteiro;eduardoM@gmail.com;eduardoM@gmail.com;222555877
22;Adolf Hitler;adolfinho@gmail.com;adolfinho@gmail.com;Camaradegas
23;Alex Borges Dias;alexdias@hotmail.com;alexdias@hotmail.com;9514826
24;Gentúlio Vargas;gentulinho@gmail.com;gentulinho@gmail.com;264873159
25;Floriado Peixoto;floeianoP@gmail.com;floeianoP@gmail.com;3951843
26;Cesar de Almeida;cesaA@gmail.com;cesaA@gmail.com;365214789
27;Machado de Assis;machadoA@gmail.com;machadoA@gmail.com;cebola123
28;Celso Iguchi;celsoIguchi@gmail.com;celsoIguchi@gmail.com;macarao
29;Vagna Iguchi;vagnaDias@gmail.com;vagnaDias@gmail.com;pizza
30;Hélio Zorzo;helioZorzo@gmail.com;helioZorzo@gmail.com;12365489
